timestamp;action1;action2
1432030007054003;0;1
1432030007787897;1;1
1432030009588171;2;1
1432030015686842;3;1
1432030023927138;4;1
1432030032252225;5;1
1432030040412067;6;1
1432030049091430;7;1
1432030061930794;8;1
1432030069310136;8;2
1432030074995284;9;2
1432030081939524;10;2
1432030087971106;11;2
1432030095117716;12;2
1432030102332948;13;2
1432030109696914;14;2
1432030114293989;14;3
1432030119117331;15;3
1432030122117491;15;4
1432030127196382;16;4
1432030132737027;17;4
1432030139576927;18;4
1432030146177319;19;4
1432030153340192;20;4
1432030161199586;21;4
1432030174342213;22;4
1432030178299430;22;5
1432030178900159;23;5
1432030184922747;24;5
1432030192842137;25;5
1432030201874017;26;5
1432030209980818;27;5
1432030217786951;28;5
1432030227905532;29;5
1432030231588009;29;6
1432030238413354;29;7
1432030240182686;30;7
1432030246452921;31;7
1432030253152265;32;7
1432030260771126;33;7
1432030268046064;34;7
1432030277894749;35;7
1432030290231872;36;7
1432030293231833;36;8
1432030297332300;37;8
1432030303476176;38;8
1432030310256194;39;8
1432030316998941;40;8
1432030323817659;41;8
1432030330994879;42;8
1432030339618973;43;8
1432030341958502;43;9
1432030342272723;43;10
1432030342439050;43;11
1432030361518727;43;12
1432030362959747;44;12
1432030367180811;45;12
1432030370520361;46;12
1432030373601569;47;12
1432030376579412;48;12
1432030380285271;49;12
1432030385121182;49;13
1432030387439923;50;13
1432030388744168;50;14
1432030389140658;50;15
1432030389381024;50;16
1432030391240605;51;16
1432030393326226;52;16
1432030395305999;53;16
1432030397998638;54;16
1432030400279908;55;16
1432030403407524;56;16
1432030407922059;57;16
1432030410165427;57;17
1432030411027927;57;18
1432030411208034;57;19
1432030411409224;57;20
1432030418708169;58;20
1432030421106510;59;20
1432030422703890;60;20
1432030425186689;61;20
1432030427430596;62;20
1432030430887762;63;20
1432030433047018;64;20
1432030437328947;65;20
1432030438828651;65;21
1432030439061872;65;22
1432030439346128;65;23
