timestamp;x;y;z;w
1432029756835210;0.280334;0.141357;0.805969;0.501709
1432029756858228;0.280396;0.141235;0.805969;0.50177
1432029756875306;0.280457;0.141235;0.805908;0.501831
1432029756895309;0.280457;0.141296;0.805786;0.501953
1432029756910380;0.280396;0.141174;0.805725;0.502075
1432029756934461;0.280273;0.140991;0.805725;0.502258
1432029756955475;0.280273;0.14093;0.805603;0.502441
1432029756970452;0.280273;0.140991;0.805603;0.502441
1432029757009546;0.280212;0.141052;0.805603;0.502441
1432029757017603;0.280212;0.141113;0.805603;0.502502
1432029757040615;0.278809;0.142578;0.805298;0.503357
1432029757055666;0.278503;0.14386;0.804993;0.503601
1432029757075624;0.27948;0.139465;0.80603;0.502625
1432029757091635;0.282349;0.139709;0.805359;0.502075
1432029757113698;0.281433;0.144226;0.80426;0.503052
1432029757143761;0.278015;0.14563;0.804382;0.504395
1432029757153713;0.278687;0.141418;0.80542;0.50354
1432029757173727;0.281494;0.141541;0.80481;0.502869
1432029757195809;0.279602;0.145935;0.803894;0.50415
1432029757210857;0.278992;0.145569;0.804077;0.504272
1432029757232952;0.281311;0.141785;0.804749;0.503052
1432029757255973;0.282349;0.144958;0.803589;0.503357
1432029757270984;0.279114;0.147644;0.803467;0.504639
1432029757292946;0.279419;0.143494;0.804626;0.503784
1432029757316023;0.282227;0.143738;0.804077;0.503052
1432029757331033;0.279846;0.147522;0.803345;0.504456
1432029757353081;0.278442;0.144287;0.804443;0.504395
1432029757376046;0.281372;0.1427;0.804321;0.503357
1432029757391056;0.279724;0.147339;0.803162;0.504883
1432029757413101;0.277405;0.145142;0.804199;0.505127
1432029757436090;0.28009;0.142761;0.804443;0.503967
1432029757451119;0.278442;0.147278;0.803345;0.505249
1432029757473115;0.276062;0.145325;0.804321;0.505554
1432029757496187;0.279053;0.143005;0.804382;0.504517
1432029757511171;0.277466;0.147522;0.803406;0.505676
1432029757533162;0.275513;0.145081;0.80426;0.506042
1432029757556178;0.278381;0.143127;0.80426;0.505127
1432029757571241;0.27655;0.147461;0.803406;0.506226
1432029757593219;0.275024;0.14447;0.804504;0.506165
1432029757616361;0.277832;0.143127;0.80426;0.505371
1432029757630493;0.277222;0.144104;0.804077;0.505676
1432029757653462;0.276001;0.140625;0.805237;0.505493
1432029757675515;0.278564;0.140137;0.804871;0.504822
1432029757690545;0.275574;0.143799;0.804199;0.50647
1432029757713597;0.275574;0.139709;0.805359;0.505859
1432029757735577;0.277832;0.140198;0.804749;0.505371
1432029757750645;0.274597;0.143372;0.80426;0.50708
1432029757773713;0.275085;0.138794;0.80542;0.506226
