timestamp;x;y;z
1432029756835210;-0.5625;-1.5;0.0625
1432029756858228;-0.6875;-1.4375;0.375
1432029756875306;-0.375;-1.25;0.125
1432029756895309;-0.6875;-1.0625;0.0625
1432029756910380;-1.4375;-1.0625;-0.1875
1432029756934461;-1.625;-1.3125;-0.125
1432029756955475;-0.6875;-1.3125;-0.3125
1432029756970452;-0.5;-0.8125;-0.125
1432029757009546;-1;-0.8125;0.0625
1432029757017603;-0.75;0.5625;-0.25
1432029757040615;0.375;-0.0625;-1.75
1432029757055666;-0.8125;0.3125;-0.625
1432029757075624;-2.8125;0.9375;0.375
1432029757091635;-1.875;-0.5;-0.6875
1432029757113698;2.875;-0.75;-0.4375
1432029757143761;1.8125;0.5;-1.6875
1432029757153713;-2.625;1.5;-0.5
1432029757173727;-2.125;-0.1875;-0.125
1432029757195809;2.3125;-0.9375;-0.4375
1432029757210857;0.375;0.5;0.3125
1432029757232952;-3.0625;0.625;0
1432029757255973;0.625;-1.1875;-0.0625
1432029757270984;3.3125;-0.1875;-0.125
1432029757292946;-1.8125;1.4375;0.5625
1432029757316023;-1.625;-0.4375;0.25
1432029757331033;1.6875;-0.5625;-0.5625
1432029757353081;-1.5625;1.8125;-1.75
1432029757376046;-3.0625;0.5;0.375
1432029757391056;2;-0.1875;-2.75
1432029757413101;-1.25;2;-0.6875
1432029757436090;-3.8125;1.125;1.0625
1432029757451119;1.125;0.125;-1.4375
1432029757473115;-0.875;1.6875;-0.3125
1432029757496187;-3.0625;0.4375;-0.5
1432029757511171;1.9375;-0.6875;0
1432029757533162;-0.875;0.75;-1.9375
1432029757556178;-3.6875;0.1875;-0.375
1432029757571241;2.25;-0.5;0.4375
1432029757593219;-1.25;1.8125;-0.5625
1432029757616361;-3.9375;0.6875;-1
1432029757630493;0.3125;-0.125;0.5
1432029757653462;-2.5625;1.9375;-0.6875
1432029757675515;-4;0.875;-0.25
1432029757690545;0.8125;0.4375;-1.75
1432029757713597;-3.5;1.5625;-0.375
1432029757735577;-3.75;-0.125;0.75
1432029757750645;0.375;-0.3125;-1.875
1432029757773713;-4.375;1.5625;0.125
1432029757795673;-2.625;-0.125;-0.75
1432029757810666;-1;0.6875;-1.75
1432029757833873;-6;1.125;0.9375
1432029757855826;-1.8125;-0.875;-0.6875
1432029757869849;0.625;1.125;-0.375
1432029757893892;-2.25;0.625;-0.0625
1432029757915937;2.125;-0.9375;-0.3125
1432029757929943;-0.4375;1.125;-1.3125
1432029757953908;-2.9375;0.375;0.6875
1432029757976026;4;-0.75;-0.9375
1432029757990036;0.6875;1;-0.5625
1432029758013001;-1.5;-0.625;1.0625
1432029758036047;4.125;-0.75;-0.9375
1432029758050079;0.125;1;1.375
1432029758073273;-0.625;-0.0625;1.9375
1432029758096294;3.5;-0.25;0.0625
1432029758110359;-0.75;1.3125;1.5625
1432029758132452;-1.375;-0.25;0
1432029758155732;3.0625;-0.25;0.25
1432029758170679;-1.875;1.25;-0.4375
1432029758192764;-2.125;-0.5625;1.5
1432029758215711;1.625;-0.1875;-1.875
1432029758230726;-2.25;1.5;-1
1432029758260832;-1.625;1.4375;0
1432029758275037;-2.4375;-2.4375;1.5625
1432029758290001;-1.5625;1.875;0.25
1432029758314012;-1.0625;0.5625;0.1875
1432029758335033;-0.9375;0.4375;-0.125
1432029758350744;-0.9375;0.5625;-0.1875
1432029758372783;-1;0.5;-0.125
1432029758395787;-0.875;0.625;-0.125
1432029758409854;-1.5;0.75;-0.25
1432029758432819;-1.8125;0.5625;-0.25
1432029758455002;-1.25;0.5;-0.5
1432029758469967;-0.625;0.1875;-0.5625
1432029758501074;-0.5625;0.4375;-0.375
1432029758515064;-0.5625;0.3125;-0.375
1432029758530140;-0.875;0.375;0
1432029758553116;-1.125;0.5625;-0.25
1432029758575171;-0.25;0.5;-0.5
1432029758590115;-0.5;0.5625;-0.1875
1432029758613267;-0.0625;0.3125;-0.125
1432029758635300;-0.875;0.4375;-0.3125
1432029758650308;-1.4375;0.6875;-0.4375
1432029758672373;-1.625;1.0625;-0.3125
1432029758695344;-0.9375;0.8125;-0.6875
1432029758710355;-0.8125;0.3125;-0.375
1432029758732418;-0.5;0;-0.25
1432029758755519;-0.125;0.0625;0
1432029758770559;0.125;0.25;0.125
1432029758792357;0.25;0.3125;0.125
1432029758815392;-0.3125;0.1875;0.125
1432029758830402;-0.875;0.3125;0.125
